ID,NAME,VALUE,YEAR,MONTH,DAY,TIME
1,PPL340,21.1,2001,1,1,0:00
2,PPL341,20.8,2002,1,1,1:00
3,PPL342,20.5,2003,1,1,2:00
4,PPL343,20,2004,1,1,3:00
5,PPL344,19.5,2005,1,1,4:00
6,PPL345,19.5,2006,1,1,5:00
7,PPL346,20,2007,1,1,6:00
8,PPL347,20.6,2008,1,1,7:00
9,PPL348,20.5,2009,1,1,8:00
10,PPL349,20.5,2010,1,1,9:00
11,PPL350,22.6,2011,1,1,10:00
12,PPL351,23.9,2012,1,1,11:00
13,PPL352,25.3,2013,1,1,12:00
14,PPL353,26.2,2014,1,1,13:00
15,PPL354,26.7,2015,1,1,14:00
16,PPL355,27.3,2016,1,1,15:00
17,PPL356,28.8,2017,1,1,16:00
18,PPL357,30,2018,1,1,17:00
19,PPL358,30.2,2019,1,1,18:00
20,PPL359,29.9,2020,1,1,19:00
21,PPL360,28.4,2021,1,1,20:00
22,PPL361,27,2022,1,1,21:00
23,PPL362,25.4,2001,1,1,22:00
24,PPL363,24,2002,1,1,23:00
25,PPL364,23.2,2003,1,2,0:00
1,PPL340,22.9,2004,1,2,1:00
2,PPL341,22.6,2005,1,2,2:00
3,PPL342,22.2,2006,1,2,3:00
4,PPL343,21.7,2007,1,2,4:00
5,PPL344,21.4,2008,1,2,5:00
6,PPL345,21.3,2009,1,2,6:00
7,PPL346,21,2010,1,2,7:00
8,PPL347,20.8,2011,1,2,8:00
9,PPL348,20.6,2012,1,2,9:00
10,PPL349,24.2,2013,1,2,10:00
11,PPL350,25.8,2014,1,2,11:00
12,PPL351,27.1,2015,1,2,12:00
13,PPL352,28,2016,1,2,13:00
14,PPL353,28.6,2017,1,2,14:00
15,PPL354,30,2018,1,2,15:00
16,PPL355,29.8,2019,1,2,16:00
17,PPL356,29.8,2020,1,2,17:00
18,PPL357,29.5,2021,1,2,18:00
19,PPL358,29.6,2022,1,2,19:00
20,PPL359,29.4,2001,1,2,20:00
21,PPL360,27.4,2002,1,2,21:00
22,PPL361,25.8,2003,1,2,22:00
23,PPL362,24.6,2004,1,2,23:00
24,PPL363,23.6,2005,1,3,0:00
25,PPL364,23,2006,1,3,1:00
1,PPL340,22.7,2007,1,3,2:00
2,PPL341,22.8,2008,1,3,3:00
3,PPL342,22.5,2009,1,3,4:00
4,PPL343,22.1,2010,1,3,5:00
5,PPL344,21.8,2011,1,3,6:00
6,PPL345,21.7,2012,1,3,7:00
7,PPL346,21.4,2013,1,3,8:00
8,PPL347,21.5,2014,1,3,9:00
9,PPL348,23.7,2015,1,3,10:00
10,PPL349,25.4,2016,1,3,11:00
11,PPL350,26.8,2017,1,3,12:00
12,PPL351,28.2,2018,1,3,13:00
13,PPL352,29.2,2019,1,3,14:00
14,PPL353,29.8,2020,1,3,15:00
15,PPL354,31.4,2021,1,3,16:00
16,PPL355,31.8,2022,1,3,17:00
17,PPL356,31.9,2001,1,3,18:00
18,PPL357,31,2002,1,3,19:00
19,PPL358,29.5,2003,1,3,20:00
20,PPL359,27.9,2004,1,3,21:00
21,PPL360,26.5,2005,1,3,22:00
22,PPL361,25.9,2006,1,3,23:00
23,PPL362,26.2,2007,1,4,0:00
24,PPL363,26.1,2008,1,4,1:00
25,PPL364,25.7,2009,1,4,2:00
